"MA010120220805430792","푸라닭성남동점","","I2","음식","I210","기타 간이","I21006","치킨","I56193","치킨 전문점","41","경기도","41133","성남시 중원구","41133510","성남동","4113310100","성남동","4113310100126160000","1","대지",2616,,"경기도 성남시 중원구 성남동 2616","411333179004","경기도 성남시 중원구 광명로",138,,"4113310100126160000042977","","경기도 성남시 중원구 광명로 138","462826","13360","","1","",127.143502503083,37.4372682123367
"MA010120220805430794","유니텍이엔씨","","M1","과학·기술","M109","기술 서비스","M10903","건물 및 토목 엔지니어링 서비스업","M72121","건물 및 토목 엔지니어링 서비스업","41","경기도","41450","하남시","41450520","신장1동","4145010600","신장동","4145010600104270372","1","대지",427,372,"경기도 하남시 신장동 427-372","414504406279","경기도 하남시 하남대로801번길",74,,"4145010600104270372004126","하이렉스오피스텔","경기도 하남시 하남대로801번길 74","465820","12957","","14","",127.205888652144,37.5379205928737
"MA010120220805430809","엘에스라인디스트리뷰션","","N1","시설관리·임대","N108","기타 사업 서비스","N10802","전시/컨벤션/행사 대행 서비스업","N75992","전시, 컨벤션 및 행사 대행업","41","경기도","41480","파주시","41480540","교하동","4148011500","문발동","4148011500105340004","1","대지",534,4,"경기도 파주시 문발동 534-4","414804418895","경기도 파주시 회동길",77,4,"4148025929105340004003166","","경기도 파주시 회동길 77-4","413070","10881","","","",126.687408575398,37.7063706157105
"MA010120220805430833","두메골민속주점","","I2","음식","I211","주점","I21104","요리 주점","I56219","기타 주점업","41","경기도","41171","안양시 만안구","41171510","안양1동","4117110100","안양동","4117110100106380004","1","대지",638,4,"경기도 안양시 만안구 안양동 638-4","411713182003","경기도 안양시 만안구 만안로",214,,"4117110100106380004007968","","경기도 안양시 만안구 만안로 214","430831","13992","","1","",126.923797919153,37.3998981601659
"MA010120220805430839","수지상현문고","","G2","소매","G213","오락용품 소매","G21301","서점","G47611","서적, 신문 및 잡지류 소매업","41","경기도","41465","용인시 수지구","41465580","상현2동","4146510700","상현동","4146510700102540009","1","대지",254,9,"경기도 용인시 수지구 상현동 254-9","414653205007","경기도 용인시 수지구 상현로",114,,"4146510700102540009026629","나래빌딩","경기도 용인시 수지구 상현로 114","448132","16930","","","",127.08433492563,37.3072046102875
"MA010120220805430984","가원건축사사무소","","M1","과학·기술","M109","기술 서비스","M10901","건축 설계 및 관련 서비스업","M72111","건축 설계 및 관련 서비스업","41","경기도","41220","평택시","41220520","서정동","4122010100","서정동","4122010100107950001","1","대지",795,1,"경기도 평택시 서정동 795-1","412202012013","경기도 평택시 경기대로",1387,,"4122010100107950001006268","승원빌딩","경기도 평택시 경기대로 1387","459813","17773","","3","",127.063850359918,37.0689726704588
"MA010120220805430917","슈퍼핑스포츠&치어리딩","","P1","교육","P106","기타 교육","P10603","요가/필라테스 학원","P85612","기타 스포츠 교육기관","41","경기도","41590","화성시","41590600","동탄6동","4159012900","오산동","4159012900109950001","1","대지",995,1,"경기도 화성시 오산동 995-1","415904852407","경기도 화성시 동탄기흥로353번길",100,,"4159012900108550001000001","","경기도 화성시 동탄기흥로353번길 100","445150","18480","","","",127.085586449715,37.1878550330053
"MA010120220805430928","서문","","I2","음식","I210","기타 간이","I21006","치킨","I56193","치킨 전문점","41","경기도","41480","파주시","41480570","운정3동","4148010800","야당동","4148010800101780054","1","대지",178,54,"경기도 파주시 야당동 178-54","414804418469","경기도 파주시 송학2길",6,29,"4148025922101780054037851","","경기도 파주시 송학2길 6-29","413837","10909","","1","",126.762729409281,37.7092934689437
"MA010120220805431008","리트머스","","G2","소매","G209","섬유·의복·신발 소매","G20905","기타 의류 소매업","G47414","셔츠 및 블라우스 소매업","41","경기도","41500","이천시","41500510","창전동","4150010100","창전동","4150010100101520005","1","대지",152,5,"경기도 이천시 창전동 152-5","415003207041","경기도 이천시 영창로",165,,"4150010100101520022009511","엔씨백화점","경기도 이천시 영창로 165","467804","17365","","4","",127.441074500444,37.2819162532939
"MA010120220805431018","스테이라운지","","I2","음식","I211","주점","I21104","요리 주점","I56219","기타 주점업","41","경기도","41220","평택시","41220250","팽성읍","4122025041","팽성읍","4122025041101120010","1","대지",112,10,"경기도 평택시 팽성읍 안정리 112-10","412203188057","경기도 평택시 팽성읍 안정쇼핑로",25,1,"4122025041101120006035516","","경기도 평택시 팽성읍 안정쇼핑로 25-1","451807","17982","","1","",127.045304260901,36.9604911832197
"MA010120220805431042","윈저","","I2","음식","I211","주점","I21101","일반 유흥 주점","I56211","일반 유흥 주점업","41","경기도","41210","광명시","41210633","하안3동","4121010300","하안동","4121010300100360004","1","대지",36,4,"경기도 광명시 하안동 36-4","412103000027","경기도 광명시 범안로",1050,,"4121010300100360004012320","","경기도 광명시 범안로 1050","423848","14305","","3","",126.879725588646,37.4621751206199
"MA010120220805431047","오마이블라디","","N1","시설관리·임대","N105","여행사·보조","N10501","여행사","N75210","여행사업","41","경기도","41150","의정부시","41150580","자금동","4115010900","금오동","4115010900104730001","1","대지",473,1,"경기도 의정부시 금오동 473-1","411503181047","경기도 의정부시 청사로",45,,"4115010900104730001019567","플래티넘프라자","경기도 의정부시 청사로 45","480865","11757","","7","",127.069595428376,37.7522640417322
"MA010120220805431052","아이키친","","I2","음식","I212","비알코올 ","I21201","카페","I56229","기타 비알코올 음료점업","41","경기도","41131","성남시 수정구","41131625","위례동","4113110800","창곡동","4113110800105090000","1","대지",509,,"경기도 성남시 수정구 창곡동 509","411313000238","경기도 성남시 수정구 위례광장로",300,,"4113110800104980021000001","창곡동509번지","경기도 성남시 수정구 위례광장로 300","461210","13640","","2","",127.142682595008,37.4734672267724
"MA010120220805431059","신세계빈대떡","","I2","음식","I201","한식","I20104","전/부침개","I56111","한식 일반 음식점업","41","경기도","41465","용인시 수지구","41465550","죽전2동","4146510200","죽전동","4146510200110030120","1","대지",1003,120,"경기도 용인시 수지구 죽전동 1003-120","414652012014","경기도 용인시 수지구 포은대로",537,,"4146510200110030120028141","하이카프라자","경기도 용인시 수지구 포은대로 537","448162","16869","","","",127.108127513484,37.3261649777941
"MA010120220805430995","윤서엔지니어링","","M1","과학·기술","M109","기술 서비스","M10903","건물 및 토목 엔지니어링 서비스업","M72121","건물 및 토목 엔지니어링 서비스업","41","경기도","41173","안양시 동안구","41173560","관양2동","4117310200","관양동","4117310200109540001","1","대지",954,1,"경기도 안양시 동안구 관양동 954-1","411734349232","경기도 안양시 동안구 흥안대로427번길",16,,"4117310200109540001000001","평촌디지털엠파이어","경기도 안양시 동안구 흥안대로427번길 16","431804","14059","","","",126.973756938248,37.3929986456574
"MA010120220805431102","베스킨라빈스용인연원","","I2","음식","I210","기타 간이","I21008","아이스크림/빙수","I56194","김밥 및 기타 간이 음식점업","41","경기도","41463","용인시 기흥구","41463570","마북동","4146311300","마북동","4146311300105240008","1","대지",524,8,"경기도 용인시 기흥구 마북동 524-8","414634412202","경기도 용인시 기흥구 연원로42번길",2,,"4146311300105240008023402","블루밍구성더센트럴","경기도 용인시 기흥구 연원로42번길 2","446938","16909","","1","",127.111364133025,37.3004362215769
"MA010120220805431108","에스비에스노래연습장","","R1","예술·스포츠","R104","유원지·오락","R10407","노래방","R91223","노래 연습장 운영업","41","경기도","41285","고양시 일산동구","41285530","정발산동","4128510300","정발산동","4128510300111350005","1","대지",1135,5,"경기도 고양시 일산동구 정발산동 1135-5","412854379115","경기도 고양시 일산동구 산두로273번길",31,,"4128510300111350005011900","","경기도 고양시 일산동구 산두로273번길 31","410828","10357","","지","",126.777552274426,37.6740655496999
"MA010120220805431133","브릭레인","","G2","소매","G209","섬유·의복·신발 소매","G20905","기타 의류 소매업","G47414","셔츠 및 블라우스 소매업","41","경기도","41115","수원시 팔달구","41115660","매산동","4111513400","매산로1가","4111513400100180000","1","대지",18,,"경기도 수원시 팔달구 매산로1가 18","411153012001","경기도 수원시 팔달구 덕영대로",924,,"4111513400100180000005527","AK플라자","경기도 수원시 팔달구 덕영대로 924","442784","16622","","4","",127.000088139556,37.2656675906019
